ssp,model,ensemble,gwt,exceedance_years
sp119,IPSL-CM6A-LR,r1i1p1f1,1.5,2019
ssp119,IPSL-CM6A-LR,ens-mean,1.5,2019
ssp119,MIROC-ES2L,r1i1p1f2,1.5,NA
ssp119,MIROC-ES2L,ens-mean,1.5,NA
ssp119,MRI-ESM2-0,r1i1p1f1,1.5,2031
ssp119,MRI-ESM2-0,ens-mean,1.5,2031
ssp119,UKESM1-0-LL,r1i1p1f2,1.5,2024
ssp119,UKESM1-0-LL,r2i1p1f2,1.5,2025
ssp119,UKESM1-0-LL,r3i1p1f2,1.5,2023
ssp119,UKESM1-0-LL,r4i1p1f2,1.5,2026
ssp119,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp119,UKESM1-0-LL,ens-mean,1.5,2024
ssp119,multimodel-mean,multi-ens-mean,1.5,2027
ssp126,ACCESS-ESM1-5,r1i1p1f1,1.5,2031
ssp126,ACCESS-ESM1-5,ens-mean,1.5,2031
ssp126,AWI-CM-1-1-MR,r1i1p1f1,1.5,2023
ssp126,AWI-CM-1-1-MR,ens-mean,1.5,2023
ssp126,BCC-CSM2-MR,r1i1p1f1,1.5,2041
ssp126,BCC-CSM2-MR,ens-mean,1.5,2041
ssp126,CanESM5,r1i1p2f1,1.5,2010
ssp126,CanESM5,ens-mean,1.5,2010
ssp126,CNRM-ESM2-1,r1i1p1f2,1.5,2048
ssp126,CNRM-ESM2-1,ens-mean,1.5,2048
ssp126,FGOALS-f3-L,r1i1p1f1,1.5,2021
ssp126,FGOALS-f3-L,ens-mean,1.5,2021
ssp126,FIO-ESM-2-0,r1i1p1f1,1.5,2017
ssp126,FIO-ESM-2-0,ens-mean,1.5,2017
ssp126,INM-CM4-8,r1i1p1f1,1.5,2051
ssp126,INM-CM4-8,ens-mean,1.5,2051
ssp126,IPSL-CM6A-LR,r1i1p1f1,1.5,2019
ssp126,IPSL-CM6A-LR,ens-mean,1.5,2019
ssp126,MCM-UA-1-0,r1i1p1f2,1.5,2023
ssp126,MCM-UA-1-0,ens-mean,1.5,2023
ssp126,MIROC-ES2L,r1i1p1f2,1.5,2041
ssp126,MIROC-ES2L,ens-mean,1.5,2041
ssp126,MPI-ESM1-2-LR,r1i1p1f1,1.5,2041
ssp126,MPI-ESM1-2-LR,ens-mean,1.5,2041
ssp126,MRI-ESM2-0,r1i1p1f1,1.5,2030
ssp126,MRI-ESM2-0,ens-mean,1.5,2030
ssp126,NESM3,r1i1p1f1,1.5,2022
ssp126,NESM3,ens-mean,1.5,2022
ssp126,UKESM1-0-LL,r1i1p1f2,1.5,2024
ssp126,UKESM1-0-LL,r2i1p1f2,1.5,2027
ssp126,UKESM1-0-LL,r3i1p1f2,1.5,2025
ssp126,UKESM1-0-LL,r4i1p1f2,1.5,2028
ssp126,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp126,UKESM1-0-LL,ens-mean,1.5,2025
ssp126,multimodel-mean,multi-ens-mean,1.5,2026
ssp245,ACCESS-ESM1-5,r1i1p1f1,1.5,2030
ssp245,ACCESS-ESM1-5,ens-mean,1.5,2030
ssp245,AWI-CM-1-1-MR,r1i1p1f1,1.5,2021
ssp245,AWI-CM-1-1-MR,ens-mean,1.5,2021
ssp245,BCC-CSM2-MR,r1i1p1f1,1.5,2035
ssp245,BCC-CSM2-MR,ens-mean,1.5,2035
ssp245,CanESM5,r1i1p2f1,1.5,2010
ssp245,CanESM5,ens-mean,1.5,2010
ssp245,CNRM-ESM2-1,r1i1p1f2,1.5,2038
ssp245,CNRM-ESM2-1,ens-mean,1.5,2038
ssp245,FGOALS-f3-L,r1i1p1f1,1.5,2022
ssp245,FGOALS-f3-L,ens-mean,1.5,2022
ssp245,INM-CM4-8,r1i1p1f1,1.5,2036
ssp245,INM-CM4-8,ens-mean,1.5,2036
ssp245,IPSL-CM6A-LR,r1i1p1f1,1.5,2019
ssp245,IPSL-CM6A-LR,ens-mean,1.5,2019
ssp245,MCM-UA-1-0,r1i1p1f2,1.5,2023
ssp245,MCM-UA-1-0,ens-mean,1.5,2023
ssp245,MIROC-ES2L,r1i1p1f2,1.5,2041
ssp245,MIROC-ES2L,ens-mean,1.5,2041
ssp245,MPI-ESM1-2-LR,r1i1p1f1,1.5,2036
ssp245,MPI-ESM1-2-LR,ens-mean,1.5,2036
ssp245,MRI-ESM2-0,r1i1p1f1,1.5,2031
ssp245,MRI-ESM2-0,ens-mean,1.5,2031
ssp245,NESM3,r1i1p1f1,1.5,2025
ssp245,NESM3,ens-mean,1.5,2025
ssp245,UKESM1-0-LL,r1i1p1f2,1.5,2024
ssp245,UKESM1-0-LL,r2i1p1f2,1.5,2024
ssp245,UKESM1-0-LL,r3i1p1f2,1.5,2023
ssp245,UKESM1-0-LL,r4i1p1f2,1.5,2028
ssp245,UKESM1-0-LL,r8i1p1f2,1.5,2020
ssp245,UKESM1-0-LL,ens-mean,1.5,2024
ssp245,multimodel-mean,multi-ens-mean,1.5,2027
ssp370,ACCESS-ESM1-5,r1i1p1f1,1.5,2033
ssp370,ACCESS-ESM1-5,ens-mean,1.5,2033
ssp370,AWI-CM-1-1-MR,r1i1p1f1,1.5,2022
ssp370,AWI-CM-1-1-MR,ens-mean,1.5,2022
ssp370,BCC-CSM2-MR,r1i1p1f1,1.5,2033
ssp370,BCC-CSM2-MR,ens-mean,1.5,2033
ssp370,CanESM5,r1i1p2f1,1.5,2010
ssp370,CanESM5,ens-mean,1.5,2010
ssp370,CNRM-ESM2-1,r1i1p1f2,1.5,2037
ssp370,CNRM-ESM2-1,ens-mean,1.5,2037
ssp370,FGOALS-f3-L,r1i1p1f1,1.5,2021
ssp370,FGOALS-f3-L,ens-mean,1.5,2021
ssp370,INM-CM4-8,r1i1p1f1,1.5,2036
ssp370,INM-CM4-8,ens-mean,1.5,2036
ssp370,IPSL-CM6A-LR,r1i1p1f1,1.5,2019
ssp370,IPSL-CM6A-LR,ens-mean,1.5,2019
ssp370,MCM-UA-1-0,r1i1p1f2,1.5,2024
ssp370,MCM-UA-1-0,ens-mean,1.5,2024
ssp370,MIROC-ES2L,r1i1p1f2,1.5,2040
ssp370,MIROC-ES2L,ens-mean,1.5,2040
ssp370,MPI-ESM1-2-LR,r1i1p1f1,1.5,2036
ssp370,MPI-ESM1-2-LR,ens-mean,1.5,2036
ssp370,MRI-ESM2-0,r1i1p1f1,1.5,2031
ssp370,MRI-ESM2-0,ens-mean,1.5,2031
ssp370,UKESM1-0-LL,r1i1p1f2,1.5,2023
ssp370,UKESM1-0-LL,r2i1p1f2,1.5,2026
ssp370,UKESM1-0-LL,r3i1p1f2,1.5,2024
ssp370,UKESM1-0-LL,r4i1p1f2,1.5,2027
ssp370,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp370,UKESM1-0-LL,ens-mean,1.5,2024
ssp370,multimodel-mean,multi-ens-mean,1.5,2027
ssp585,ACCESS-ESM1-5,r1i1p1f1,1.5,2028
ssp585,ACCESS-ESM1-5,ens-mean,1.5,2028
ssp585,AWI-CM-1-1-MR,r1i1p1f1,1.5,2020
ssp585,AWI-CM-1-1-MR,ens-mean,1.5,2020
ssp585,BCC-CSM2-MR,r1i1p1f1,1.5,2031
ssp585,BCC-CSM2-MR,ens-mean,1.5,2031
ssp585,CanESM5,r1i1p2f1,1.5,2010
ssp585,CanESM5,ens-mean,1.5,2010
ssp585,CNRM-ESM2-1,r1i1p1f2,1.5,2032
ssp585,CNRM-ESM2-1,ens-mean,1.5,2032
ssp585,FGOALS-f3-L,r1i1p1f1,1.5,2021
ssp585,FGOALS-f3-L,ens-mean,1.5,2021
ssp585,INM-CM4-8,r1i1p1f1,1.5,2031
ssp585,INM-CM4-8,ens-mean,1.5,2031
ssp585,IPSL-CM6A-LR,r1i1p1f1,1.5,2018
ssp585,IPSL-CM6A-LR,ens-mean,1.5,2018
ssp585,MCM-UA-1-0,r1i1p1f2,1.5,2021
ssp585,MCM-UA-1-0,ens-mean,1.5,2021
ssp585,MIROC-ES2L,r1i1p1f2,1.5,2034
ssp585,MIROC-ES2L,ens-mean,1.5,2034
ssp585,MPI-ESM1-2-LR,r1i1p1f1,1.5,2034
ssp585,MPI-ESM1-2-LR,ens-mean,1.5,2034
ssp585,MRI-ESM2-0,r1i1p1f1,1.5,2026
ssp585,MRI-ESM2-0,ens-mean,1.5,2026
ssp585,NESM3,r1i1p1f1,1.5,2021
ssp585,NESM3,ens-mean,1.5,2021
ssp585,UKESM1-0-LL,r1i1p1f2,1.5,2023
ssp585,UKESM1-0-LL,r2i1p1f2,1.5,2025
ssp585,UKESM1-0-LL,r3i1p1f2,1.5,2023
ssp585,UKESM1-0-LL,r4i1p1f2,1.5,2026
ssp585,UKESM1-0-LL,r8i1p1f2,1.5,2021
ssp585,UKESM1-0-LL,ens-mean,1.5,2024
ssp585,multimodel-mean,multi-ens-mean,1.5,2025
multissp-mean,multimodel-mean,multiens-mean,1.5,2026
ssp119,IPSL-CM6A-LR,r1i1p1f1,2.0,2038
ssp119,IPSL-CM6A-LR,ens-mean,2.0,2038
ssp119,MIROC-ES2L,r1i1p1f2,2.0,NA
ssp119,MIROC-ES2L,ens-mean,2.0,NA
ssp119,MRI-ESM2-0,r1i1p1f1,2.0,NA
ssp119,MRI-ESM2-0,ens-mean,2.0,NA
ssp119,UKESM1-0-LL,r1i1p1f2,2.0,2040
ssp119,UKESM1-0-LL,r2i1p1f2,2.0,2040
ssp119,UKESM1-0-LL,r3i1p1f2,2.0,2037
ssp119,UKESM1-0-LL,r4i1p1f2,2.0,2039
ssp119,UKESM1-0-LL,r8i1p1f2,2.0,2034
ssp119,UKESM1-0-LL,ens-mean,2.0,2038
ssp119,multimodel-mean,multi-ens-mean,2.0,NA
ssp126,ACCESS-ESM1-5,r1i1p1f1,2.0,2073
ssp126,ACCESS-ESM1-5,ens-mean,2.0,2073
ssp126,AWI-CM-1-1-MR,r1i1p1f1,2.0,2051
ssp126,AWI-CM-1-1-MR,ens-mean,2.0,2051
ssp126,BCC-CSM2-MR,r1i1p1f1,2.0,NA
ssp126,BCC-CSM2-MR,ens-mean,2.0,NA
ssp126,CanESM5,r1i1p2f1,2.0,2021
ssp126,CanESM5,ens-mean,2.0,2021
ssp126,CNRM-ESM2-1,r1i1p1f2,2.0,NA
ssp126,CNRM-ESM2-1,ens-mean,2.0,NA
ssp126,FGOALS-f3-L,r1i1p1f1,2.0,2056
ssp126,FGOALS-f3-L,ens-mean,2.0,2056
ssp126,FIO-ESM-2-0,r1i1p1f1,2.0,2034
ssp126,FIO-ESM-2-0,ens-mean,2.0,2034
ssp126,INM-CM4-8,r1i1p1f1,2.0,NA
ssp126,INM-CM4-8,ens-mean,2.0,NA
ssp126,IPSL-CM6A-LR,r1i1p1f1,2.0,2039
ssp126,IPSL-CM6A-LR,ens-mean,2.0,2039
ssp126,MCM-UA-1-0,r1i1p1f2,2.0,2062
ssp126,MCM-UA-1-0,ens-mean,2.0,2062
ssp126,MIROC-ES2L,r1i1p1f2,2.0,NA
ssp126,MIROC-ES2L,ens-mean,2.0,NA
ssp126,MPI-ESM1-2-LR,r1i1p1f1,2.0,NA
ssp126,MPI-ESM1-2-LR,ens-mean,2.0,NA
ssp126,MRI-ESM2-0,r1i1p1f1,2.0,NA
ssp126,MRI-ESM2-0,ens-mean,2.0,NA
ssp126,NESM3,r1i1p1f1,2.0,2050
ssp126,NESM3,ens-mean,2.0,2050
ssp126,UKESM1-0-LL,r1i1p1f2,2.0,2037
ssp126,UKESM1-0-LL,r2i1p1f2,2.0,2038
ssp126,UKESM1-0-LL,r3i1p1f2,2.0,2037
ssp126,UKESM1-0-LL,r4i1p1f2,2.0,2040
ssp126,UKESM1-0-LL,r8i1p1f2,2.0,2033
ssp126,UKESM1-0-LL,ens-mean,2.0,2037
ssp126,multimodel-mean,multi-ens-mean,2.0,2059
ssp245,ACCESS-ESM1-5,r1i1p1f1,2.0,2046
ssp245,ACCESS-ESM1-5,ens-mean,2.0,2046
ssp245,AWI-CM-1-1-MR,r1i1p1f1,2.0,2040
ssp245,AWI-CM-1-1-MR,ens-mean,2.0,2040
ssp245,BCC-CSM2-MR,r1i1p1f1,2.0,2057
ssp245,BCC-CSM2-MR,ens-mean,2.0,2057
ssp245,CanESM5,r1i1p2f1,2.0,2020
ssp245,CanESM5,ens-mean,2.0,2020
ssp245,CNRM-ESM2-1,r1i1p1f2,2.0,2056
ssp245,CNRM-ESM2-1,ens-mean,2.0,2056
ssp245,FGOALS-f3-L,r1i1p1f1,2.0,2041
ssp245,FGOALS-f3-L,ens-mean,2.0,2041
ssp245,INM-CM4-8,r1i1p1f1,2.0,2063
ssp245,INM-CM4-8,ens-mean,2.0,2063
ssp245,IPSL-CM6A-LR,r1i1p1f1,2.0,2034
ssp245,IPSL-CM6A-LR,ens-mean,2.0,2034
ssp245,MCM-UA-1-0,r1i1p1f2,2.0,2046
ssp245,MCM-UA-1-0,ens-mean,2.0,2046
ssp245,MIROC-ES2L,r1i1p1f2,2.0,2063
ssp245,MIROC-ES2L,ens-mean,2.0,2063
ssp245,MPI-ESM1-2-LR,r1i1p1f1,2.0,2058
ssp245,MPI-ESM1-2-LR,ens-mean,2.0,2058
ssp245,MRI-ESM2-0,r1i1p1f1,2.0,2049
ssp245,MRI-ESM2-0,ens-mean,2.0,2049
ssp245,NESM3,r1i1p1f1,2.0,2043
ssp245,NESM3,ens-mean,2.0,2043
ssp245,UKESM1-0-LL,r1i1p1f2,2.0,2034
ssp245,UKESM1-0-LL,r2i1p1f2,2.0,2032
ssp245,UKESM1-0-LL,r3i1p1f2,2.0,2035
ssp245,UKESM1-0-LL,r4i1p1f2,2.0,2037
ssp245,UKESM1-0-LL,r8i1p1f2,2.0,2030
ssp245,UKESM1-0-LL,ens-mean,2.0,2034
ssp245,multimodel-mean,multi-ens-mean,2.0,2044
ssp370,ACCESS-ESM1-5,r1i1p1f1,2.0,2049
ssp370,ACCESS-ESM1-5,ens-mean,2.0,2049
ssp370,AWI-CM-1-1-MR,r1i1p1f1,2.0,2038
ssp370,AWI-CM-1-1-MR,ens-mean,2.0,2038
ssp370,BCC-CSM2-MR,r1i1p1f1,2.0,2047
ssp370,BCC-CSM2-MR,ens-mean,2.0,2047
ssp370,CanESM5,r1i1p2f1,2.0,2019
ssp370,CanESM5,ens-mean,2.0,2019
ssp370,CNRM-ESM2-1,r1i1p1f2,2.0,2052
ssp370,CNRM-ESM2-1,ens-mean,2.0,2052
ssp370,FGOALS-f3-L,r1i1p1f1,2.0,2036
ssp370,FGOALS-f3-L,ens-mean,2.0,2036
ssp370,INM-CM4-8,r1i1p1f1,2.0,2053
ssp370,INM-CM4-8,ens-mean,2.0,2053
ssp370,IPSL-CM6A-LR,r1i1p1f1,2.0,2034
ssp370,IPSL-CM6A-LR,ens-mean,2.0,2034
ssp370,MCM-UA-1-0,r1i1p1f2,2.0,2042
ssp370,MCM-UA-1-0,ens-mean,2.0,2042
ssp370,MIROC-ES2L,r1i1p1f2,2.0,2056
ssp370,MIROC-ES2L,ens-mean,2.0,2056
ssp370,MPI-ESM1-2-LR,r1i1p1f1,2.0,2052
ssp370,MPI-ESM1-2-LR,ens-mean,2.0,2052
ssp370,MRI-ESM2-0,r1i1p1f1,2.0,2045
ssp370,MRI-ESM2-0,ens-mean,2.0,2045
ssp370,UKESM1-0-LL,r1i1p1f2,2.0,2032
ssp370,UKESM1-0-LL,r2i1p1f2,2.0,2035
ssp370,UKESM1-0-LL,r3i1p1f2,2.0,2033
ssp370,UKESM1-0-LL,r4i1p1f2,2.0,2036
ssp370,UKESM1-0-LL,r8i1p1f2,2.0,2032
ssp370,UKESM1-0-LL,ens-mean,2.0,2033
ssp370,multimodel-mean,multi-ens-mean,2.0,2041
ssp585,ACCESS-ESM1-5,r1i1p1f1,2.0,2039
ssp585,ACCESS-ESM1-5,ens-mean,2.0,2039
ssp585,AWI-CM-1-1-MR,r1i1p1f1,2.0,2037
ssp585,AWI-CM-1-1-MR,ens-mean,2.0,2037
ssp585,BCC-CSM2-MR,r1i1p1f1,2.0,2043
ssp585,BCC-CSM2-MR,ens-mean,2.0,2043
ssp585,CanESM5,r1i1p2f1,2.0,2019
ssp585,CanESM5,ens-mean,2.0,2019
ssp585,CNRM-ESM2-1,r1i1p1f2,2.0,2046
ssp585,CNRM-ESM2-1,ens-mean,2.0,2046
ssp585,FGOALS-f3-L,r1i1p1f1,2.0,2036
ssp585,FGOALS-f3-L,ens-mean,2.0,2036
ssp585,INM-CM4-8,r1i1p1f1,2.0,2046
ssp585,INM-CM4-8,ens-mean,2.0,2046
ssp585,IPSL-CM6A-LR,r1i1p1f1,2.0,2034
ssp585,IPSL-CM6A-LR,ens-mean,2.0,2034
ssp585,MCM-UA-1-0,r1i1p1f2,2.0,2037
ssp585,MCM-UA-1-0,ens-mean,2.0,2037
ssp585,MIROC-ES2L,r1i1p1f2,2.0,2047
ssp585,MIROC-ES2L,ens-mean,2.0,2047
ssp585,MPI-ESM1-2-LR,r1i1p1f1,2.0,2049
ssp585,MPI-ESM1-2-LR,ens-mean,2.0,2049
ssp585,MRI-ESM2-0,r1i1p1f1,2.0,2038
ssp585,MRI-ESM2-0,ens-mean,2.0,2038
ssp585,NESM3,r1i1p1f1,2.0,2034
ssp585,NESM3,ens-mean,2.0,2034
ssp585,UKESM1-0-LL,r1i1p1f2,2.0,2032
ssp585,UKESM1-0-LL,r2i1p1f2,2.0,2033
ssp585,UKESM1-0-LL,r3i1p1f2,2.0,2032
ssp585,UKESM1-0-LL,r4i1p1f2,2.0,2034
ssp585,UKESM1-0-LL,r8i1p1f2,2.0,2030
ssp585,UKESM1-0-LL,ens-mean,2.0,2032
ssp585,multimodel-mean,multi-ens-mean,2.0,2037
multissp-mean,multimodel-mean,multiens-mean,2.0,2043
ssp119,IPSL-CM6A-LR,r1i1p1f1,3.0,NA
ssp119,IPSL-CM6A-LR,ens-mean,3.0,NA
ssp119,MIROC-ES2L,r1i1p1f2,3.0,NA
ssp119,MIROC-ES2L,ens-mean,3.0,NA
ssp119,MRI-ESM2-0,r1i1p1f1,3.0,NA
ssp119,MRI-ESM2-0,ens-mean,3.0,NA
ssp119,UKESM1-0-LL,r1i1p1f2,3.0,NA
ssp119,UKESM1-0-LL,r2i1p1f2,3.0,NA
ssp119,UKESM1-0-LL,r3i1p1f2,3.0,NA
ssp119,UKESM1-0-LL,r4i1p1f2,3.0,NA
ssp119,UKESM1-0-LL,r8i1p1f2,3.0,NA
ssp119,UKESM1-0-LL,ens-mean,3.0,NA
ssp119,multimodel-mean,multi-ens-mean,3.0,NA
ssp126,ACCESS-ESM1-5,r1i1p1f1,3.0,NA
ssp126,ACCESS-ESM1-5,ens-mean,3.0,NA
ssp126,AWI-CM-1-1-MR,r1i1p1f1,3.0,NA
ssp126,AWI-CM-1-1-MR,ens-mean,3.0,NA
ssp126,BCC-CSM2-MR,r1i1p1f1,3.0,NA
ssp126,BCC-CSM2-MR,ens-mean,3.0,NA
ssp126,CanESM5,r1i1p2f1,3.0,NA
ssp126,CanESM5,ens-mean,3.0,NA
ssp126,CNRM-ESM2-1,r1i1p1f2,3.0,NA
ssp126,CNRM-ESM2-1,ens-mean,3.0,NA
ssp126,FGOALS-f3-L,r1i1p1f1,3.0,NA
ssp126,FGOALS-f3-L,ens-mean,3.0,NA
ssp126,FIO-ESM-2-0,r1i1p1f1,3.0,NA
ssp126,FIO-ESM-2-0,ens-mean,3.0,NA
ssp126,INM-CM4-8,r1i1p1f1,3.0,NA
ssp126,INM-CM4-8,ens-mean,3.0,NA
ssp126,IPSL-CM6A-LR,r1i1p1f1,3.0,NA
ssp126,IPSL-CM6A-LR,ens-mean,3.0,NA
ssp126,MCM-UA-1-0,r1i1p1f2,3.0,NA
ssp126,MCM-UA-1-0,ens-mean,3.0,NA
ssp126,MIROC-ES2L,r1i1p1f2,3.0,NA
ssp126,MIROC-ES2L,ens-mean,3.0,NA
ssp126,MPI-ESM1-2-LR,r1i1p1f1,3.0,NA
ssp126,MPI-ESM1-2-LR,ens-mean,3.0,NA
ssp126,MRI-ESM2-0,r1i1p1f1,3.0,NA
ssp126,MRI-ESM2-0,ens-mean,3.0,NA
ssp126,NESM3,r1i1p1f1,3.0,NA
ssp126,NESM3,ens-mean,3.0,NA
ssp126,UKESM1-0-LL,r1i1p1f2,3.0,NA
ssp126,UKESM1-0-LL,r2i1p1f2,3.0,NA
ssp126,UKESM1-0-LL,r3i1p1f2,3.0,NA
ssp126,UKESM1-0-LL,r4i1p1f2,3.0,NA
ssp126,UKESM1-0-LL,r8i1p1f2,3.0,NA
ssp126,UKESM1-0-LL,ens-mean,3.0,NA
ssp126,multimodel-mean,multi-ens-mean,3.0,NA
ssp245,ACCESS-ESM1-5,r1i1p1f1,3.0,NA
ssp245,ACCESS-ESM1-5,ens-mean,3.0,NA
ssp245,AWI-CM-1-1-MR,r1i1p1f1,3.0,NA
ssp245,AWI-CM-1-1-MR,ens-mean,3.0,NA
ssp245,BCC-CSM2-MR,r1i1p1f1,3.0,NA
ssp245,BCC-CSM2-MR,ens-mean,3.0,NA
ssp245,CanESM5,r1i1p2f1,3.0,2044
ssp245,CanESM5,ens-mean,3.0,2044
ssp245,CNRM-ESM2-1,r1i1p1f2,3.0,2089
ssp245,CNRM-ESM2-1,ens-mean,3.0,2089
ssp245,FGOALS-f3-L,r1i1p1f1,3.0,NA
ssp245,FGOALS-f3-L,ens-mean,3.0,NA
ssp245,INM-CM4-8,r1i1p1f1,3.0,NA
ssp245,INM-CM4-8,ens-mean,3.0,NA
ssp245,IPSL-CM6A-LR,r1i1p1f1,3.0,2065
ssp245,IPSL-CM6A-LR,ens-mean,3.0,2065
ssp245,MCM-UA-1-0,r1i1p1f2,3.0,NA
ssp245,MCM-UA-1-0,ens-mean,3.0,NA
ssp245,MIROC-ES2L,r1i1p1f2,3.0,NA
ssp245,MIROC-ES2L,ens-mean,3.0,NA
